name,repo,reference_url,source_type
30dayMakeCppServer,https://github.com/yuesong-feng/30dayMakeCppServer,,repo
360Controller,https://github.com/360Controller/360Controller,,repo
3proxy,https://github.com/3proxy/3proxy,,repo
7-Zip-zstd,https://github.com/mcmilk/7-Zip-zstd,,repo
abseil-cpp,https://github.com/abseil/abseil-cpp,,repo
acpica,https://github.com/acpica/acpica,,repo
activate-linux,https://github.com/MrGlockenspiel/activate-linux,,repo
acwj,https://github.com/DoctorWkt/acwj,,repo
AFLplusplus,https://github.com/AFLplusplus/AFLplusplus,,repo
aircrack-ng,https://github.com/aircrack-ng/aircrack-ng,,repo
algorithms_and_data_structures,https://github.com/mandliya/algorithms_and_data_structures,,repo
AliSQL,https://github.com/alibaba/AliSQL,,repo
android-art,https://android.googlesource.com/platform/art,,repo
android-cuttlefish,https://android.googlesource.com/device/google/cuttlefish,,repo
android-goldfish,https://android.googlesource.com/device/generic/goldfish,,repo
android-libhardware,https://android.googlesource.com/platform/hardware/libhardware,,repo
android-liblog,https://android.googlesource.com/platform/system/logging,,repo
android-ndk,https://android.googlesource.com/platform/ndk,,repo
android-soong,https://android.googlesource.com/platform/build/soong,,repo
android-system-core,https://android.googlesource.com/platform/system/core,,repo
aosp,https://android.googlesource.com/platform/manifest,,repo
apache-arrow,https://github.com/apache/arrow,,repo
apollo,https://github.com/ApolloAuto/apollo,,repo
AppImageLauncher,https://github.com/TheAssassin/AppImageLauncher,,repo
apt,https://salsa.debian.org/apt-team/apt.git,,repo
arangodb,https://github.com/arangodb/arangodb,,repo
Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,,repo
ArduinoCore-API,https://github.com/arduino/ArduinoCore-API,,repo
ArduinoJson,https://github.com/bblanchon/ArduinoJson,,repo
ardupilot,https://github.com/ArduPilot/ardupilot,,repo
aria2,https://github.com/aria2/aria2,,repo
arm-trusted-firmware,https://github.com/ARM-software/arm-trusted-firmware,,repo
arrayfire,https://github.com/arrayfire/arrayfire,,repo
aseprite,https://github.com/aseprite/aseprite,,repo
asio,https://github.com/chriskohlhoff/asio,,repo
assimp,https://github.com/assimp/assimp,,repo
asuswrt-merlin.ng,https://github.com/RMerl/asuswrt-merlin.ng,,repo
atl,,https://learn.microsoft.com/,reference
atl-server,https://github.com/nicola-v/ATL-Server,,repo
Atmosphere,https://github.com/Atmosphere-NX/Atmosphere,,repo
autoconf,https://git.savannah.gnu.org/git/autoconf.git,,repo
automake,https://git.savannah.gnu.org/git/automake.git,,repo
aws-fleet-provisioning,https://github.com/aws/Fleet-Provisioning-for-AWS-IoT-embedded-sdk,,repo
aws-iot-device-defender,https://github.com/aws/Device-Defender-for-AWS-IoT-embedded-sdk,,repo
aws-iot-device-shadow,https://github.com/aws/Device-Shadow-for-AWS-IoT-embedded-sdk,,repo
aws-iot-jobs,https://github.com/aws/Jobs-for-AWS-IoT-embedded-sdk,,repo
aws-iot-ota,https://github.com/aws/ota-for-aws-iot-embedded-sdk,,repo
aws-sigv4,https://github.com/aws/SigV4-for-AWS-IoT-embedded-sdk,,repo
azure-iot-sdk-c,https://github.com/Azure/azure-iot-sdk-c,,repo
azure-sphere-sdk,,https://learn.microsoft.com/,reference
BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic,,repo
backoff-algorithm,https://github.com/FreeRTOS/backoffAlgorithm,,repo
baekjoon,https://github.com/tony9402/baekjoon,,repo
barebox,https://github.com/barebox/barebox,,repo
bash,https://git.savannah.gnu.org/git/bash.git,,repo
